Producto,Semanas_Analizadas,Periodo_Evaluado,Fuerza_Estacionalidad,Fuerza_Tendencia,Ventas_Totales,Fuerza_Estacionalidad_Scaled,Fuerza_Tendencia_Scaled,Ventas_Totales_Scaled,Score_Prioridad
IVP01021,52,26,1.0,1.0,78111,1.0,0.9999999999999999,0.040270607057390176,0.8080541214114779
IVP15248,53,26,1.0,0.9,104106,1.0,0.9074074074074073,0.060889760700424594,0.784400174362307
IVP15246,54,26,0.99,0.81,205830,0.99,0.8240740740740741,0.1415769230464155,0.7705376068315053
IVP07378,139,52,0.9,0.25,32667,0.9,0.3055555555555555,0.004224566736018516,0.5425115800138703
IVP07099,153,52,0.55,0.03,1288062,0.55,0.10185185185185185,0.9999999999999999,0.5055555555555555
IVP11065,135,52,0.87,0.02,47400,0.87,0.09259259259259259,0.015910736792676575,0.4659599251363131
IVP11633,144,52,0.8,0.08,73050,0.8,0.14814814814814814,0.0362562375021912,0.45169569194488274
IVP07383,66,26,0.68,0.22,139866,0.68,0.2777777777777778,0.08925448215743213,0.44118422976481975
IVP04039,156,52,0.59,0.42,39222,0.59,0.4629629629629629,0.00942397247289448,0.4357736833834678
IVP07293,153,52,0.81,-0.08,207630,0.81,0.0,0.14300467748217094,0.4336009354964342
IVP07169,154,52,0.7,0.04,132984,0.7,0.1111111111111111,0.08379570103139394,0.4000924735396121
IVP07370,154,52,0.61,0.09,287850,0.61,0.15740740740740738,0.20663493350233716,0.39354920892268963
IVP07331,156,52,0.67,0.02,166283,0.67,0.09259259259259259,0.11020836489596032,0.3848194507569699
IVP07243,147,52,0.68,-0.02,203997,0.68,0.05555555555555555,0.14012299311267126,0.38469126528920095
IVP11588,154,52,0.65,0.09,74096,0.65,0.15740740740740738,0.037085921468746855,0.3796394065159716
IVP11080,155,52,0.68,0.05,36033,0.68,0.12037037037037036,0.006894467530881139,0.3774900046172873
IVP11137,151,52,0.67,0.07,31290,0.67,0.1388888888888889,0.0031323345926656254,0.37729313358519984
IVP15237,64,26,0.74,-0.07,35125,0.74,0.009259259259259259,0.006174244737733408,0.3740126267253244
IVP07165,155,52,0.6,0.16,73061,0.6,0.2222222222222222,0.03626496266818749,0.3739196592003041
IVP11060,151,52,0.56,0.22,64131,0.56,0.2777777777777778,0.029181714273023133,0.36916967618793795
IVP07094,154,52,0.52,0.0,573300,0.52,0.07407407407407407,0.4330529911058831,0.3688328204433988
IVP07191,154,52,0.61,0.05,176072,0.61,0.12037037037037036,0.11797296943574352,0.36470570499825977
IVP09076,151,52,0.64,0.05,61836,0.64,0.12037037037037036,0.027361327367434986,0.3615833765845981
IVP07304,155,52,0.63,0.05,92652,0.63,0.12037037037037036,0.05180448330756765,0.3614720077726246
IVP07294,152,52,0.62,-0.03,241039,0.62,0.046296296296296294,0.16950459300670015,0.35778980749022893
IVP15060,154,52,0.5,0.06,449745,0.5,0.12962962962962962,0.33504954704490525,0.3558987982978699
IVP07452,153,52,0.49,0.1,389668,0.49,0.16666666666666666,0.28739665635775086,0.3524793312715502
IVP11055,152,52,0.59,0.11,32430,0.59,0.17592592592592593,0.004036579068644054,0.3485850935915066
IVP15034,155,52,0.57,0.1,85387,0.57,0.16666666666666666,0.04604190776547705,0.34420838155309535
IVP07130,155,52,0.63,-0.02,56435,0.63,0.05555555555555555,0.02307727086325999,0.3362821208393187
IVP07384,154,52,0.48,0.06,379245,0.48,0.12962962962962962,0.27912916497781826,0.3347147218844525
IVP07085,152,52,0.59,-0.01,148222,0.59,0.06481481481481481,0.09588243552697226,0.33362093154983885
IVP10025,155,52,0.54,0.07,162884,0.54,0.1388888888888889,0.10751228860310884,0.33316912438728846
IVP07207,154,52,0.53,0.09,153382,0.53,0.15740740740740738,0.09997533157613778,0.3322172885374498
IVP09031,147,52,0.62,-0.01,28200,0.62,0.06481481481481481,0.0006813561446188353,0.3295807156733682
IVP11159,155,52,0.55,0.07,88033,0.55,0.1388888888888889,0.048140706786037504,0.3262948080238742
IVP11595,155,52,0.61,-0.08,124271,0.61,0.0,0.07688457636542899,0.3203769152730858
IVP11617,133,52,0.57,-0.02,139459,0.57,0.05555555555555555,0.08893165101556966,0.31945299686978057
IVP07436,148,52,0.56,0.03,79647,0.56,0.10185185185185185,0.041488957509234786,0.31885334705740254
IVP07264,154,52,0.54,0.03,138780,0.54,0.10185185185185185,0.08839307031452637,0.31823416961846085
IVP11479,155,52,0.56,0.01,104529,0.56,0.08333333333333333,0.06122528299282712,0.3172450565985655
IVP10009,146,52,0.54,0.06,73198,0.54,0.12962962962962962,0.036373630644686655,0.3161636150178262
